id,description
1,Ar.
2,Ar. Dr.
3,ChM.
4,ChM. Dr.
5,Cik
6,Datin
7,Datin Amar
8,Datin Diraja
9,Datin Dr.
10,Datin Indera
11,Datin Ir.
12,Datin Paduka
13,Datin Paduka Profesor Madya
14,Datin Paduka Seri
15,Datin Paduka Setia
16,Datin Patinggi
17,Datin Profesor
18,Datin Profesor Dr.
19,Datin Profesor Ir. Dr. Hajah
20,Datin Profesor Madya
21,Datin Profesor Madya Dr.
22,Datin Profesor Madya Hajah
23,Datin Profesor Sr. Dr.
24,Datin Seri
25,Datin Seri Diraja
26,Datin Seri Panglima
27,Datin Seri Setia DiRaja
28,Datin Seri Utama
29,Datin Seri Wira
30,Datin Setia
31,Datin Sr. Dr.
32,Datin Sri
33,Datin Sri Cempaka
34,Datin Sri Diraja
35,Datin Sri Dr.
36,Datin Wira
37,Datu
38,Datu Dr.
39,Datuk
40,Datuk Amar
41,Datuk Bentara Luar
42,Datuk Bentara Raja
43,Datuk Dr.
44,Datuk Hajah
45,Datuk Ir.
46,Datuk Ir. Dr.
47,Datuk Ir. Ts. Dr.
48,Datuk Kol.
49,Datuk Patinggi
50,Datuk Profesor
51,Datuk Profesor Dr.
52,Datuk Profesor Emeritus
53,Datuk Profesor Emeritus Dr.
54,Datuk Profesor Madya
55,Datuk Profesor Madya Dr.
56,Datuk Seri
57,Datuk Seri Dr.
58,Datuk Seri Ir. Dr.
59,Datuk Seri Panglima
60,Datuk Seri Utama
61,Datuk Setia
62,Datuk Setia Wangsa
63,Datuk Sri
64,Datuk Sri Amar DiRaja
65,Datuk Sri Dr.
66,Datuk Wira
67,Datuk Wira Dr.
68,Datuk Wira Hajah
69,Datuk Wira Jaya
70,Dr.
71,Dr. Hajah
72,Dr.-Ing.
73,Hajah
74,Ir.
75,Ir. Dr.
76,Ir. Ts.
77,Ir. Ts. Dr.
78,Jeneral
79,Kapten
80,Kepten
81,Kolonel
82,Kolonel (B) Dr.
83,LAr.
84,LAr. Dr.
85,Lt. Kolonel
86,Major
87,Mejar Profesor Madya Dr.
88,Pehin Sri
89,Prof. Datin Paduka Dr.
90,Profesor
91,Profesor Datin Dr.
92,Profesor Datuk Dr.
93,Profesor DiRaja
94,Profesor Dr.
95,Profesor Dr. Hajah
96,Profesor Emerita Dr.
97,Profesor Emeritus Dr.
98,Profesor Emeritus Ir. Dr.
99,Profesor Hajah
100,Profesor Ir.
101,Profesor Ir. Dr.
102,Profesor Ir. Dr. Hajah
103,Profesor Madya
104,Profesor Madya Ar.
105,Profesor Madya Dr.
106,Profesor Madya Dr.
107,Profesor Madya Dr. Hajah
108,Profesor Madya Gs. Dr.
109,Profesor Madya Hajah
110,Profesor Madya Ir.
111,Profesor Madya Ir. Dr.
112,Profesor Madya Ir.Ts.Dr.
113,Profesor Madya Sr.
114,Profesor Madya Sr. Dr.
115,Profesor Madya Sr. Hajah
116,Profesor Madya Ts. Dr.
117,Profesor Sr. Dr.
118,Profesor Sr. Ir. Dr.
119,Profesor Ts. Dr.
120,Puan
121,Puan Sri
122,Puan Sri Datin
123,Puan Sri Datin Profesor
124,Puan Sri Datin Seri Panglima
125,Puan Sri Datin Sri Profesor Dr.
126,Puan Sri Datuk
127,Puan Sri Dr.
128,Puan Sri Profesor Madya
129,Puan Sri Utama
130,Sr.
131,Sr. Dr.
132,Sr. Dr. Hajah
133,Sr. Ts.
134,Tan Sri
135,Tan Sri Datuk
136,Tan Sri Datuk Dr.
137,Tan Sri Datuk Profesor
138,Tan Sri Datuk Profesor Dr.
139,Tan Sri Datuk Seri
140,Tan Sri Dr.
141,Tan Sri Jeneral
142,Tan Sri Profesor
143,Tc.
144,Toh Puan
145,Toh Puan Seri Utama
146,Tok Puan
147,TPr.
148,Ts.
149,Ts. Dr.
150,Tun
151,Tun Dr.
152,Yang Mulia
153,YB
154,YB Senator
